mut_type	proportion	all_proportion	family	sample
CtoA	0.34	0.352792	M5	P3
CtoG	0.08	0.0736041	M5	P3
CtoT	0.29	0.21066	M5	P3
AtoC	0.103896	0.0812183	M5	P4
AtoG	0.168831	0.205584	M5	P4
AtoT	0.103896	0.0761421	M5	P4
CtoA	0.363636	0.352792	M5	P4
CtoG	0.0779221	0.0736041	M5	P4
CtoT	0.181818	0.21066	M5	P4
AtoC	0.091954	0.0812183	M5	P5
AtoG	0.172414	0.205584	M5	P5
AtoT	0.0804598	0.0761421	M5	P5
CtoA	0.356322	0.352792	M5	P5
CtoG	0.114943	0.0736041	M5	P5
CtoT	0.183908	0.21066	M5	P5
AtoC	0.0740741	0.0695652	N1	P1
AtoG	0.17284	0.2	N1	P1
AtoT	0.0740741	0.0608696	N1	P1
CtoA	0.308642	0.310145	N1	P1
CtoG	0.0864198	0.0521739	N1	P1
CtoT	0.283951	0.307246	N1	P1
AtoC	0.0909091	0.0695652	N1	P2
AtoG	0.236364	0.2	N1	P2
AtoT	0.0727273	0.0608696	N1	P2
CtoA	0.236364	0.310145	N1	P2
CtoG	0.0181818	0.0521739	N1	P2
CtoT	0.345455	0.307246	N1	P2
AtoC	0.0425532	0.0695652	N1	P3
AtoG	0.276596	0.2	N1	P3
AtoT	0.0425532	0.0608696	N1	P3
CtoA	0.340426	0.310145	N1	P3
CtoG	0.0212766	0.0521739	N1	P3
CtoT	0.276596	0.307246	N1	P3
AtoC	0.0877193	0.0695652	N1	P4
AtoG	0.245614	0.2	N1	P4
AtoT	0.0877193	0.0608696	N1	P4
CtoA	0.298246	0.310145	N1	P4
CtoG	0	0.0521739	N1	P4
CtoT	0.280702	0.307246	N1	P4
AtoC	0.0566038	0.0695652	N1	P5
AtoG	0.150943	0.2	N1	P5
AtoT	0.0377358	0.0608696	N1	P5
CtoA	0.339623	0.310145	N1	P5
CtoG	0.0849057	0.0521739	N1	P5
CtoT	0.330189	0.307246	N1	P5
AtoC	0.0854701	0.0867925	N2	P1
AtoG	0.128205	0.175472	N2	P1
AtoT	0.0769231	0.0566038	N2	P1
CtoA	0.435897	0.360377	N2	P1
CtoG	0.0598291	0.0811321	N2	P1
CtoT	0.213675	0.239623	N2	P1
AtoC	0.128713	0.0867925	N2	P2
AtoG	0.19802	0.175472	N2	P2
AtoT	0.019802	0.0566038	N2	P2
CtoA	0.326733	0.360377	N2	P2
CtoG	0.0891089	0.0811321	N2	P2
CtoT	0.237624	0.239623	N2	P2
AtoC	0.060241	0.0867925	N2	P3
AtoG	0.13253	0.175472	N2	P3
AtoT	0.0722892	0.0566038	N2	P3
CtoA	0.373494	0.360377	N2	P3
CtoG	0.0722892	0.0811321	N2	P3
CtoT	0.289157	0.239623	N2	P3
AtoC	0.05	0.0867925	N2	P4
AtoG	0.216667	0.175472	N2	P4
AtoT	0.0583333	0.0566038	N2	P4
CtoA	0.291667	0.360377	N2	P4
CtoG	0.1	0.0811321	N2	P4
CtoT	0.283333	0.239623	N2	P4
AtoC	0.109091	0.0867925	N2	P5
AtoG	0.190909	0.175472	N2	P5
AtoT	0.0545455	0.0566038	N2	P5
CtoA	0.372727	0.360377	N2	P5
CtoG	0.0818182	0.0811321	N2	P5
CtoT	0.190909	0.239623	N2	P5
AtoC	0.191489	0.115274	N3	P1
AtoG	0.191489	0.204611	N3	P1
AtoT	0.0638298	0.0662824	N3	P1
CtoA	0.297872	0.394813	N3	P1
CtoG	0.0638298	0.054755	N3	P1
CtoT	0.191489	0.164265	N3	P1
AtoC	0.116279	0.115274	N3	P2
AtoG	0.186047	0.204611	N3	P2
AtoT	0.0465116	0.0662824	N3	P2
CtoA	0.465116	0.394813	N3	P2
CtoG	0.0348837	0.054755	N3	P2
CtoT	0.151163	0.164265	N3	P2
AtoC	0.12	0.115274	N3	P3
AtoG	0.21	0.204611	N3	P3
AtoT	0.07	0.0662824	N3	P3
CtoA	0.43	0.394813	N3	P3
CtoG	0.05	0.054755	N3	P3
CtoT	0.12	0.164265	N3	P3
AtoC	0.0693069	0.115274	N3	P4
AtoG	0.227723	0.204611	N3	P4
AtoT	0.0792079	0.0662824	N3	P4
CtoA	0.366337	0.394813	N3	P4
CtoG	0.0693069	0.054755	N3	P4
CtoT	0.188119	0.164265	N3	P4
AtoC	0.142857	0.115274	N3	P5
AtoG	0.214286	0.204611	N3	P5
AtoT	0.0714286	0.0662824	N3	P5
CtoA	0.214286	0.394813	N3	P5
CtoG	0.0714286	0.054755	N3	P5
CtoT	0.285714	0.164265	N3	P5
AtoC	0.0909091	0.102167	C1	P1
AtoG	0.136364	0.19195	C1	P1
AtoT	0.0227273	0.0247678	C1	P1
CtoA	0.340909	0.380805	C1	P1
CtoG	0.113636	0.0712074	C1	P1
CtoT	0.295455	0.229102	C1	P1
AtoC	0.0833333	0.102167	C1	P2
AtoG	0.216667	0.19195	C1	P2
AtoT	0.05	0.0247678	C1	P2
CtoA	0.416667	0.380805	C1	P2
CtoG	0.05	0.0712074	C1	P2
CtoT	0.183333	0.229102	C1	P2
AtoC	0.0888889	0.102167	C1	P3
AtoG	0.244444	0.19195	C1	P3
AtoT	0.0222222	0.0247678	C1	P3
CtoA	0.433333	0.380805	C1	P3
CtoG	0.0555556	0.0712074	C1	P3
CtoT	0.155556	0.229102	C1	P3
AtoC	0.119403	0.102167	C1	P4
AtoG	0.164179	0.19195	C1	P4
AtoT	0	0.0247678	C1	P4
